,0,1,2,3,4,5,NumberOfNodes
0,6302796857,6304304188,0738920916,6305841721,1565015991,1567301193,6
1,6304907621,0784017859,630098687X,B000068TSN,073603739X,,5
2,6302503779,1888568003,B00005ICEG,B00004RBNU,6301253779,,5
3,0790731339,6305180822,6305495483,6304475152,B000056AY9,,5
4,6302874629,6301313941,6302049008,6302282535,6302605148,,5
5,B00005NTOF,6302461960,1573301256,093040758X,6305337659,,5
6,B00000JYX4,B00004YZH4,0307142469,6303864120,,,4
7,6304185537,0940871327,B00000INB3,B00004YZH1,,,4
8,B000009ELJ,073603417X,B00000F25H,B00000J30K,,,4
9,6301722272,6302919789,6303435513,6301805046,,,4
10,6304945175,6302712971,6301987837,0769720641,,,4
11,6304474121,6303312136,6300269485,B00004LC7T,,,4
12,630447444X,6305237220,B000056F1J,B00001MXWS,,,4
13,6300269310,B00005AXAN,B00002E24F,B00005U8RA,,,4
14,6301942655,B00007M5I4,6303223400,192973221X,,,4
15,6303102492,0793903343,6300208613,B000058TMK,,,4
16,630439604X,6305149844,6302878772,6303671764,,,4
17,B00000IBKK,B000062XJ6,B00005B6NJ,6303939015,,,4
18,6301976576,076701135X,B000067D0J,1578071984,,,4
19,B000089QAI,0767001346,B000062XJ5,0790749343,,,4
20,6302161452,6304191006,0767813227,B000006QYD,,,4
21,B000056WSS,6305121702,B00005NGDO,6304499205,,,4
22,6304660251,6302460247,0784015082,6303816363,,,4
23,6303360041,B00004TTI2,6300269582,,,,3
24,B0000060T5,B000063W82,6300253228,,,,3
25,6303675441,6301966422,6300181804,,,,3
26,6300215466,B00000INB5,B0000640ZV,,,,3
27,B000006PFD,B00000INB0,B00005AXA8,,,,3
28,6300213056,6302450179,6302999014,,,,3
29,6301267788,B00005AXA6,1572523360,,,,3
30,1568322259,6302824990,6303052703,,,,3
31,6301576152,0792146220,0967539005,,,,3
32,630302663X,6303467830,6304185901,,,,3
33,6305276854,630194299X,6304561717,,,,3
34,6304073496,6304907354,B00004STC6,,,,3
35,6302101220,6301272307,6303929966,,,,3
36,B00007M5IH,1585651052,0967501016,,,,3
37,B000059YSB,6303203922,B00005NGD0,,,,3
38,6303890385,B00000JQ8G,B00002JWZK,,,,3
39,6302777275,6303654223,B00005KAQH,,,,3
40,0764000969,6304525753,0769720633,,,,3
41,0790739720,0792839234,6303471234,,,,3
42,0784001804,6301536940,1571320377,,,,3
43,6302946549,B00005U8RQ,6303548946,,,,3
44,1561278483,B0000640ZS,6302378702,,,,3
45,0967830206,6302843200,B00005Q2YK,,,,3
46,B00000FD84,B0000633EW,1568551797,,,,3
47,B00004UCXI,6301763300,6302369037,,,,3
48,6303382967,0945671873,B00005BCOU,,,,3
49,B000055Y1C,B00004RF5A,6302957532,,,,3
50,6304744269,6304372396,6304945760,,,,3
51,B00005AXA7,6304308612,B0000065M2,,,,3
52,6303048927,6300216632,6304025912,,,,3
53,B00007FCTN,6302316480,6303095151,,,,3
54,0789421550,1578071445,0792145194,,,,3
55,B00005A8S4,B00001WRIK,B00000JQ8M,,,,3
56,6303687261,6302492696,6303418872,,,,3
57,6303218814,6303389546,B00006IQ9Y,,,,3
58,B0000060TP,6301963644,,,,,2
59,B00005U8R7,B00000IC8N,,,,,2
60,0767013395,B00001MXWW,,,,,2
61,B00000INB1,6304907761,,,,,2
62,B00000JQ8J,B00000INB2,,,,,2
63,0966012224,B00004RF5N,,,,,2
64,6305191794,6304138458,,,,,2
65,6301569180,030714335X,,,,,2
66,B000056N8D,0792844629,,,,,2
67,B000059YSC,6303975704,,,,,2
68,6303092020,6301976460,,,,,2
69,B00002EPG7,6302161401,,,,,2
70,6301320417,0792158369,,,,,2
71,630511739X,0788822721,,,,,2
72,6303852637,6304288875,,,,,2
73,B00004UEEA,B000065ETM,,,,,2
74,6303647073,B00000FASD,,,,,2
75,B000059YSD,B00000JNTB,,,,,2
76,0780620097,B00000JNTV,,,,,2
77,6301736303,6303584934,,,,,2
78,B00007M5IA,1563643278,,,,,2
79,1573309923,6304291752,,,,,2
80,079229548X,630344461X,,,,,2
81,B00005ICEH,B000053VCO,,,,,2
82,B000053VCG,6301766377,,,,,2
83,B00005U8RV,B00004WG5O,,,,,2
84,B000062XKR,B00000I1RQ,,,,,2
85,B00005092O,0783240562,,,,,2
86,B00000JQUX,B00004YZH0,,,,,2
87,6305565724,1893907007,,,,,2
88,6304393075,B000065B20,,,,,2
89,6302872243,B000062XKN,,,,,2
90,6304684681,6304494335,,,,,2
91,6303321011,B00005B6NF,,,,,2
92,1578071321,6303924670,,,,,2
93,B00000JWWC,078400949X,,,,,2
94,6300184889,6303954294,,,,,2
95,B000006QY7,6304092040,,,,,2
96,6302041104,B00004RBNV,,,,,2
97,6300987493,B0000640ZU,,,,,2
98,B00004STCU,B00006FMXB,,,,,2
99,6302786991,6305214220,,,,,2
100,1568121393,1567301347,,,,,2
101,6302424712,B00005RJ1Y,,,,,2
102,630443815X,B00000IRDW,,,,,2
103,B00004XMTZ,B00006JMTV,,,,,2
104,156855334X,B00006JMTR,,,,,2
105,B000066TOM,6304029977,,,,,2
106,0792845919,B00004TTI1,,,,,2
107,0767011570,B00004TJLI,,,,,2
108,B00005RJ1I,1560395788,,,,,2
109,6304366043,B00002ND7Y,,,,,2
110,B00000JWWX,6301328175,,,,,2
111,6302987865,6301964071,,,,,2
