,0,ASIN,ModuleDegree,BelongsTo
571,0.010786482868571406,B000085EFG,4,5
330,0.007058488766697981,B00007G1VL,4,10
602,0.00687454195225206,B00005NTOH,2,172
476,0.006478700171140428,B00004TX06,3,88
303,0.006290888039762477,B000060MVA,2,184
281,0.006253806521971431,B000060MV8,2,177
109,0.006158874000239043,6305558205,3,47
555,0.00589237637184539,6305133131,3,62
575,0.005657135313756434,B00005NMYY,3,83
284,0.005498181840598477,B000060MV5,4,6
622,0.005365680477374246,B00009MEKQ,3,48
460,0.005289314605542592,B00006FDAX,2,203
230,0.005232821905619923,B00005UQ7P,3,60
177,0.005119201625378007,B00007D00L,3,67
198,0.005010005518495316,B00004R99U,2,165
488,0.0047979367820781636,B00005RDAJ,2,174
197,0.004736529190874877,B00004R99S,2,132
651,0.004670660212277629,B000063V8G,2,194
60,0.004546179654733722,B00008WJD6,2,122
220,0.004521407166119833,B00005B3Z7,3,78
280,0.00424162082273517,B000060MV9,2,176
46,0.004228611811337538,B00005NB97,2,116
451,0.004221636963357836,6305199329,3,92
554,0.004097386488349454,B00006JDU8,3,29
343,0.004051166665488578,B00005QBYU,2,195
218,0.004046499265532993,B00007M5HU,2,149
461,0.004044142782919645,B00006FDAY,3,90
354,0.004036215098170596,B000067D0Y,2,101
406,0.00396942925278246,B00005KAQS,3,19
456,0.003945127050239843,B00006FDAP,4,7
380,0.003887135345579128,B00006G8GE,2,200
501,0.003869923494724907,B00008J2EC,3,83
253,0.003866222435782279,B00005YUO2,3,67
193,0.00386518064786216,B00005V9ID,2,162
434,0.0038534154989756054,B00005AWQT,2,213
291,0.0037980939994155354,B000060MVU,3,78
517,0.0037319338934915726,B00008VX40,4,4
286,0.0037104362911143034,B000060MV7,4,8
307,0.0036938777998470735,1565957008,3,31
500,0.003679954007919271,B000062XFY,3,93
527,0.0036540205358990014,B00003W8NS,3,32
123,0.003639797100254252,B00008G6GI,2,139
403,0.003585307655371485,B00002JWZQ,2,197
352,0.0035829218196584784,6305975035,3,52
224,0.003565734776271207,B00000JWVS,3,28
214,0.0035492299924543484,B000067J3E,3,50
133,0.0034576369411625234,B00000IBQ0,3,56
392,0.003456415651661174,B00005TPL8,3,55
652,0.003423754790438377,B000063V8M,2,105
618,0.003409548311931816,B00007AJEB,2,226
25,0.0034075490492943526,B000063JZG,3,23
447,0.0033526720023068454,B00006SFJ8,2,216
80,0.0032955689018804944,B00000F3CD,2,128
379,0.0032422386458385044,1573307211,4,11
429,0.0032038531404853217,6305079161,3,97
489,0.0032034093937258513,B00005RDAN,2,210
349,0.0031888192164632443,B00007K025,3,66
490,0.003188223220414481,B00005RDAO,3,38
640,0.003179291427348509,B000035Z38,3,96
144,0.0031550599176433975,B00005T30G,3,52
138,0.0031453890022456305,6304698518,3,57
422,0.003121734634519528,B000063K13,4,7
435,0.003121012163053636,B00005AWQR,4,7
449,0.003116952395976294,B000051XK1,2,217
382,0.0031168864163220564,B00005AXAI,3,36
546,0.003111096191328388,B00005ICEC,3,99
170,0.0030845614417588704,630523650X,2,155
257,0.003069696364185792,B00005YUOW,4,0
30,0.003065906393179548,B000056N8Z,3,26
582,0.003047862318449766,0738900370,3,82
547,0.0030184021222473315,B00005QW74,3,72
396,0.002991300516079677,B00005TPLX,3,96
172,0.002935681682285107,B00007KK2H,3,66
629,0.0029354874908502737,B00007E1NC,3,75
421,0.0029205946255200245,B000063K14,2,210
162,0.002889817183690549,0780022629,3,30
226,0.0028774310586116483,B00006L9ZU,3,23
588,0.002867911589665384,6305609640,2,224
304,0.0028590400797824283,B000060MVB,2,185
215,0.0028498731791676054,1892649551,3,72
112,0.0028288574870907416,B00003CY57,3,47
106,0.0028016889900746344,B00005A0QC,3,46
540,0.002786306937242628,B00005JL7Q,3,71
592,0.002780110782194259,B00000K31S,2,216
225,0.002749246981625716,B00006L9ZY,4,3
74,0.002747995632433516,6305334854,3,37
402,0.00274049957382238,B00005KAQ9,3,60
548,0.002737244671679513,B00006JDUY,3,75
192,0.0027264659855967205,080017948X,3,71
210,0.002721578071939495,B00004R995,4,9
510,0.0026861965652072023,B00005B34Z,3,100
408,0.0026715280619978698,B000063K1L,3,98
470,0.002669485085436232,B00006FDA0,4,5
503,0.002669208910520667,B00008J2EB,2,186
28,0.002658978381813898,B000056PPH,3,24
93,0.0026397280608534512,B00000JNTN,2,132
319,0.0026300632767000064,B000067IVQ,2,143
121,0.002629064591798056,0780022343,2,138
481,0.0026279125974539887,0783227337,3,57
41,0.0026257149317423585,B00005RT35,2,113
341,0.0026235294969374694,B00005QBYW,2,189
34,0.0026098791965013433,B000056N8Q,2,109
19,0.002602464342434198,6305808155,3,19
441,0.0026019008287471532,B00006SFJP,2,215
122,0.0025961637310468037,B00006JU7G,3,33
311,0.0025661400752494596,6305910537,2,186
54,0.002552655208868701,B00006DXXS,2,120
462,0.002537635298369004,B00006FDAB,2,220
0,0.0025374538961711536,0790747324,2,101
492,0.0025248429708111964,6305650616,3,37
127,0.002509501819126289,0769712231,2,140
102,0.002497510770782833,B00005AQ4X,2,135
124,0.0024948600959127905,B00004RFID,3,53
64,0.0024884334813044607,B00008WJD9,3,14
7,0.002486049941095031,B00000IC8L,2,103
375,0.002464324455948655,B0000372I3,2,141
81,0.0024406777976940476,B00005RYOS,4,5
130,0.0024239231160075366,B000060MWA,2,135
432,0.0024158826638179813,B00007FCTQ,2,213
328,0.0024143383531657504,B00007G1VI,2,190
606,0.0023979291442543355,B00007AJEP,4,8
13,0.0023874531821044044,B000050X31,2,105
66,0.0023722390992081694,B00004ST9H,3,36
151,0.002351372990122734,B00005T302,3,33
149,0.0023391852751421054,B00005T30S,2,145
529,0.00233557486266097,B00003W8NU,2,117
393,0.0023273512624580827,6305337373,3,30
368,0.002325024046469489,6305871078,2,199
205,0.002315293589153555,B00004R99F,4,8
637,0.002314720681217615,B00002ND76,3,79
563,0.0023102249280335654,B000053GTB,2,160
613,0.002298191609883222,B00007AJEO,2,226
51,0.002278418406427612,B00005NB91,2,118
625,0.002277728734954956,B00006LPAU,2,215
513,0.0022719119021311113,0767817680,1,299
624,0.0022470983976645557,6305311463,2,205
376,0.0022464147276447465,B00005R24G,2,133
394,0.002245685414837866,B00005TPLY,4,3
515,0.002239175623708165,B000096IAT,2,223
520,0.0022386365885152183,6305784892,4,1
148,0.0022381070948625163,B00005T30T,3,61
156,0.002230470507388586,B0000507OO,2,149
262,0.0022293566722469196,B00005YUOA,3,88
553,0.0022249898410735096,B000089765,2,221
263,0.0022200329408742624,B00005YUOE,2,171
568,0.0022180862025650548,B000085EFA,3,94
70,0.002208238631521695,B00005A8TW,3,18
