,0,1,2,3,NumberOfNodes
0,0790747324,B0000560QE,B000059HB7,B00005AQ4X,4
1,B000056PNB,6305066795,B00006BS7S,6305228892,4
2,B00000IC83,B00005JL72,B00000INBI,0790746999,4
3,B00005NTO0,B00005ICEC,B000089QEE,B00000IC8L,4
4,B00007L4N1,B000067D0Y,B00006G8GE,B00003CY5P,4
5,B000094J88,B000068TZZ,6305808155,B000067IVQ,4
6,B000063JZG,B000067IVV,B00008J2EC,B00005NMYY,4
7,6305078564,B00008CMT4,B00005AQ4P,B000056N8X,4
8,B00000G0DM,B00005NB9E,B000056N8Z,B00005T30D,4
9,B00006DXXR,B00007AJEB,6305929718,B00005RDAH,4
10,B00006DXX6,B00008G4H7,B0000687BP,630506976X,4
11,B00005NTO3,6305609640,6305428514,B00005NB9U,4
12,B00002ND76,B00005RYA1,B00006FDA7,B00005QBYU,4
13,B00008V2WB,B00007AJEC,B000067G12,B00000F3CB,4
14,B00000F3CD,0780627822,B000060MVO,B00007KK28,4
15,B00004R99W,B00005T30K,B00006JDVY,B000055ZL7,4
16,B000021Y7N,B00005T30I,B00004R99O,1572522178,4
17,6305252572,B00005T30T,B00006FDAY,B000085EFC,4
18,B00006JDUE,B00002JWZX,6305551235,0792838289,4
19,B00004R99J,B0000509C5,B00006FDAL,B00005B3Z0,4
20,B000053GTB,B0000509C4,B000063K1D,B000063K1T,4
21,0790729989,B00004R99L,B00008W2MO,B00005B34L,4
22,B00007M5HB,B00006L9ZT,B00005JL7Q,B000060MV7,4
23,B00006SFJ1,B000068QOE,B00003CXF4,B00007G1VS,4
24,B00005TPL8,B00007G1VL,B000089QAP,6305307210,4
25,6304808917,B00005AXAF,B00000IC80,,3
26,B00003W8NT,B00000IC8F,B00003W8NN,,3
27,B00006LU75,B00004R99F,0767846869,,3
28,B000050XXO,B00004U0FN,0800141849,,3
29,B00003CY5S,B000050X30,B00005R24G,,3
30,B00004RFIE,B00004R993,B00000JNTN,,3
31,B00004RFIC,B000060MV5,6300157563,,3
32,0783227337,B00005YTR7,B00006JDUY,,3
33,B00002ND7R,6305972869,B00005YTR8,,3
34,B000063JZE,B000067J2N,B00006FDAS,,3
35,B00007M5HK,B000056N8Q,B000096IAT,,3
36,B000085EFE,B000056N8V,0769712231,,3
37,B00005QBY8,6305297843,B00006RJER,,3
38,B00005RT35,B00007KK2H,B00003CY5G,,3
39,B00008WJDS,B00006IUFO,B00008XS0X,,3
40,080017948X,B00004R99Q,B00008WJDA,,3
41,0790739291,B00005NB91,B000067IVW,,3
42,B00005LDD2,B00006DXXS,B000063K12,,3
43,0792299922,B00005V9ID,B00008WJD6,,3
44,0780021312,B000067G15,B00005NB9Y,,3
45,B00008WJD9,B00002ND7A,0783230648,,3
46,B00003CY51,B00004ST9H,B00004TIXZ,,3
47,B00005A8TY,B00005YUOG,B00007FCTP,,3
48,B000053GT1,B000065AYC,6304712987,,3
49,B00004R99S,B00005RYOS,B00000JJHF,,3
50,B000067J25,B00005U8EZ,1892649551,,3
51,B000063K16,B00004UEEE,6305650616,,3
52,B00006JDUV,6305871418,B00005LDD8,,3
53,B00005RDAN,B000063V8K,B000077VQ0,,3
54,B00005B34U,B00005A0QC,6305505519,,3
55,B00005YUOW,B00003CY5Y,B00002JWZQ,,3
56,B00000JYX6,B00004R997,B00003CY5D,,3
57,B00005YUOU,B00002ND79,B00003CY5A,,3
58,B00006309Q,0780022343,B00006JDUU,,3
59,B00006JU7G,0792838424,B00006IUFV,,3
60,B00002ND7B,B00004RFID,B000053GT5,,3
61,B000063K1L,6305836663,B00007KK2J,,3
62,B00005QBYV,B00005T30S,B00007AJEL,,3
63,B00005QBYK,B00005NQH0,B00005LC3X,,3
64,0780022629,B000060MV0,B000085EF8,,3
65,0767827929,0790742012,B00002E1YO,,3
66,6305133476,B00005TPLI,B00005YUOE,,3
67,B000063K1E,B00005QW74,0783232292,,3
68,B00004ZELI,B00006IUFZ,B00005Y6Y9,,3
69,B00007D00L,6305428115,B00005YUO2,,3
70,1571324941,6305350221,B00008WJDY,,3
71,B000060MV9,B00005B3Z6,B00000JYXB,,3
72,B00000JYX8,B000060MVJ,B00006FDA1,,3
73,B00006AFF5,6305910537,B0000509C2,,3
74,B00005AWQR,B00004R99U,B00000K31Q,,3
75,6305311463,B00005NTOI,B00004R99H,,3
76,B00003W8NU,B00005B3Z7,6305308772,,3
77,B00005JKHF,B000083C7V,B00004R999,,3
78,B00004R991,B000068U00,6305428522,,3
79,B00004R995,B00005U2FJ,B00008J2EA,,3
