,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote
0,0,21,0790747324,DVD,795,5,B00007JMD8,6305350221,B00004RF9B,B00005JKFR,B00005NG6A,140,4.5,688
1,1,37,B000056PNC,DVD,46018,5,B00020W0WO,B0000C8AO7,B0002WZRUO,B0000C8AO5,B0001WTVUC,7,3.5,43
2,2,42,B000056PNB,DVD,19685,5,B0002LJTIG,B00004TJRE,B0001K2S36,B0000DIJON,B00006LPHE,24,4.5,91
3,3,44,B000056PNE,DVD,33124,5,B0002IKSFC,B0000C8AO1,B0001WTVU2,B00013F38U,B0001Z37IQ,13,4,127
4,4,149,B00000IC80,DVD,51310,3,B00006AUGQ,B00005RERR,B0002KPHZ6,,,0,0,0
5,5,151,B00000IC82,DVD,44671,1,B00009YXEW,,,,,13,3,40
6,6,152,B00000IC86,DVD,52747,0,,,,,,0,0,0
7,7,153,B00000IC83,DVD,38774,5,1573629235,B000056H24,B0000633QW,B00007K020,B00009MEID,8,4,87
8,8,158,B00000IC89,DVD,44822,5,B00005B1XA,6304870272,B00005B1X8,B00005B1X9,B00000I1DH,4,3,20
9,9,176,B00000IC8Z,DVD,15428,5,0767015533,6305299951,0767018699,630529996X,0767018664,15,5,70
10,10,179,B00000IC8F,DVD,53825,5,B00023P4O2,B00005LC4C,B0000WN0PA,B0001FGBZM,0783233582,13,3.5,70
11,11,182,B00000IC8L,DVD,36972,5,B0002MHDY2,B00006SFJ7,1559409053,B00009YXEW,1559746777,15,1.5,229
12,12,211,B00007L4N1,DVD,46276,4,B0000DC145,B0000DC146,B0000687C8,B00004R99J,,6,5,15
13,13,308,B00006LU76,DVD,49525,0,,,,,,4,3,14
14,14,312,B00006LU75,DVD,18879,5,0920129234,B0001EQI4C,B00006LU73,096728211X,B00062J0TE,5,3,12
15,15,349,B00004U0FN,DVD,17659,5,B0001Y4LEG,B00004U0FM,1572525401,1572525428,1572528060,7,4,50
16,16,514,B000050X30,DVD,22561,5,B00006CXFD,6305079188,0783227477,B0001BPPO4,B000050X2Z,17,3,176
17,17,515,B000050X32,DVD,31160,5,B00005ABSQ,B000087F5C,1573301353,B000056JSU,B000092T5K,4,5,108
18,18,522,B000050X31,DVD,10124,5,B00008DDRM,B000050X2Z,B0002JYAG4,B000022TSV,B000059QY3,30,4.5,510
19,19,653,B00004RFI7,DVD,26906,5,B0001BMM4U,B0001BMM5E,6305789312,B0001BMM54,B0001BMM5O,28,5,123
20,20,672,6305908028,DVD,28448,5,6305837287,6305909490,6305772398,B00004S8A3,6305462224,6,4.5,71
21,21,686,B00004RFIF,DVD,4312,5,B000056VOO,B0000633TA,B00005S8L5,B000062XFL,B000056VOP,50,4.5,173
22,22,689,B00004RFIE,DVD,4681,5,B0000633TA,B00004RFIF,B00005S8L5,B000062XFL,B000056VOO,81,4.5,237
23,23,690,B00004RFIC,DVD,18726,5,0738921351,B00004RFID,B00005R1N1,0316610984,B00004SPY8,7,4.5,25
24,24,746,6305808155,DVD,29372,5,6305808120,6305808139,B00005IBT5,B00004Y6C4,B000096IA4,18,3,88
25,25,802,B00005YTR7,DVD,29488,5,B00005AVZR,0788602136,B00009V2JR,B00005JG6O,B0006HBV3M,2,3.5,15
26,26,806,B00005YTR8,DVD,12423,5,B000060MV1,B00005O5CQ,B00005NFYI,0788602047,B0002HODE0,11,5,51
27,27,823,B00005B7D0,DVD,56486,0,,,,,,2,4.5,25
28,28,843,B00000INBI,DVD,27268,5,B00001U0IK,B00008Z44H,1573470481,6305078629,6305337373,5,2,13
29,29,856,B00000IC81,DVD,51537,5,B0002MHDY2,B00006SFJ7,1559409053,B00009YXEW,1559746777,15,1.5,229
30,30,1002,B000063JZW,DVD,40410,1,B0000639HI,,,,,2,2.5,4
31,31,1049,B000063JZG,DVD,46751,5,B000067IVU,B00006FD8V,B00008DDWN,B0002VEVQG,B0003JAK4E,10,4.5,20
32,32,1057,B000063JZE,DVD,34901,5,B00008RH3Y,B0001US5WO,B000087F31,B00007K000,B00004TJG6,29,4.5,72
33,33,1067,B000063JZI,DVD,55879,5,B00007KK4G,B00008AOSW,B00008G8PR,B00006JMPO,B00020HC0E,8,3.5,36
34,34,1204,B000056PPH,DVD,29191,5,B00007M5JY,B00019G8AG,B00018D3AK,B00023BN4M,B00012AST0,5,4,57
35,35,1277,B000056N8X,DVD,5642,5,B00005RYL2,B00008QOE5,B00028G7IY,B0001ZX0GA,B00020HCBI,226,3,925
36,36,1278,B000056N8Z,DVD,12630,5,B0002XL29I,B0006Q93D8,B0000524DX,B000089729,B00008DDUY,10,4,55
37,37,1282,B000056N8P,DVD,28174,5,B00006DXXT,B00026WV5O,B0002ERX8G,B0006IUE0C,B0002OXVDW,7,4.5,71
38,38,1285,B000056N8W,DVD,12583,5,B00004RFG3,B00005NFYH,B00005Y6XO,B00069WFD0,B00005MAG5,28,4.5,105
39,39,1287,B000056N8T,DVD,8439,5,B00001ODGH,B0000YEDJU,B0000541X5,B00004YKXA,B00064LP4A,14,4,93
40,40,1288,B000056N8Q,DVD,18007,5,B0000694ZF,B000056N8H,B00005QCVR,B00014K5KU,6305505780,37,3.5,55
41,41,1290,B000056N8V,DVD,3783,5,6305692610,B00008L3S0,B00015YVI6,B000069I02,B00004YS58,23,4,212
42,42,1293,B000056N8H,DVD,26040,5,B000056N8Q,B0006H32E8,B00005JLG1,6305505780,0780627873,5,3.5,2
43,43,1294,B000056N8G,DVD,14478,0,,,,,,5,3.5,1
44,44,1362,0790742853,DVD,14891,5,B000002IMT,B000093NTL,078324021X,6304884389,B00009OWJT,48,4.5,145
45,45,1412,6305701237,DVD,58830,0,,,,,,0,0,0
46,46,1467,B00006RJER,DVD,29916,5,B00006RCKT,B00005Q2YN,B000088NS4,B0002ERWR8,B0002XEDBW,8,3.5,37
47,47,1504,B00005O438,DVD,15006,5,B00004W5UF,0767827716,B00006FDCU,B00005K3NR,B00005ATQJ,56,3.5,123
48,48,1562,B00004I9Z1,DVD,25046,5,B00007JME6,B0000A2ZQE,B000094J6K,B00008L3WX,B0001WTWYC,31,3.5,489
49,49,1580,B00005RT35,DVD,7608,5,6304803737,B00005RIIP,6304756178,B00005JLEM,B00000I21X,18,4,126
50,50,1608,B00005ALLX,DVD,13661,5,B00062IDHE,6305614350,B0001C9YRC,B00005O4UI,B00005NGAE,103,4.5,544
51,51,1619,B00008WJDN,DVD,4350,5,B00008WJDK,B0002B15M4,B00008WJDP,B0002B15MO,B0002B15ME,15,4,56
52,52,1622,B00008WJDS,DVD,31172,5,B00005RYOK,B000093W4T,B0001FVE1S,B0000C237S,B00006LPH9,4,2,10
53,53,1625,B00008WJDA,DVD,17812,5,B0002IQNAG,B00005U128,6305972052,6305808082,0792841336,22,3.5,100
54,54,1627,B00005NB96,DVD,40788,5,630539475X,B0000TWMPM,B00005NFZS,B0002TNGWI,B0001US7HC,1,5,4
55,55,1628,B00005NB97,DVD,27739,5,B00007M5J1,B00017LVZ0,B00008AOWX,B0001WTWW4,B00017LVYG,40,4.5,164
56,56,1629,B00005NB95,DVD,24195,5,B00005QW5Y,6305558167,B0000648XE,B00005UW9V,6305742030,290,3,2046
57,57,1630,B00005NB92,DVD,12992,5,B00005NB91,B00005UF7R,B00005UF7Q,B00005NB8Z,B00005NB90,21,4.5,85
58,58,1631,B00005NB94,DVD,3458,5,B0000648XE,6305742030,B00003ETJV,B00004U28P,B00005N913,47,4.5,361
59,59,1632,B00005NB90,DVD,39595,5,B00005NB91,B00005K9NY,B00005NB92,B00005K9NZ,B00005UF7Q,8,4,27
60,60,1634,B00005NB91,DVD,31726,5,B00005UF7R,B00005NB8Z,B00005NB90,B00005UF7Q,B00005K9NY,15,4.5,70
61,61,1635,B00005NB93,DVD,17640,5,B00004VVPA,B0002I82Z0,B0002M5U7E,B00008G7EF,B0002M5U6A,58,2.5,295
62,62,1637,B00006DXXV,DVD,26207,5,B00006DXXU,B000065U39,B00008972C,B000065U38,B00008972D,10,4,94
63,63,1639,B00006DXXS,DVD,31222,5,B00007AJFH,B000063URJ,B000063URK,B0000CABJN,B0000CABJP,3,3,13
64,64,1640,B00006DXXU,DVD,25235,5,B000065U39,B000065U38,B00006DXXV,B00008972C,B00008972D,13,5,71
65,65,1641,B00006DXXR,DVD,8503,5,B00008NV4M,B0002CX1WA,B00005OCMK,B0000CABJM,B0000D1FJ9,28,3.5,197
66,66,1654,B00006DXX6,DVD,45823,5,B00007M57R,630469623X,B0000541AK,B00005QCVS,B00000JGHV,5,4,13
67,67,1668,B00005NB9J,DVD,33979,0,,,,,,0,0,0
68,68,1670,B00005NB9E,DVD,45274,3,B0002DB5PO,B00005KA70,B0002KQNL8,,,2,3,4
69,69,1677,B00005NB9X,DVD,26035,5,B00006L920,B0001BKBP2,B00005PJ7E,6305692696,B000055ZF3,14,4,44
70,70,1678,B00008WJD6,DVD,16635,5,B0000DZ6N3,B000094J7Z,B00005JMW7,B00007E2F5,B0001Z3TXE,142,3,365
71,71,1679,B00005NB9Z,DVD,8567,5,B00005NB9Y,B0000A1HQP,B00005OSLQ,B00007L4OM,B0000897B7,39,4.5,191
72,72,1681,B00005NB9Y,DVD,10520,5,B00005NB9Z,B00007L4OM,B00000F527,B0000E32V2,0780626494,41,4,155
73,73,1682,B00005NB9U,DVD,35925,5,B000065B0O,B00005UO7K,B0000AGWRJ,B00005UO7J,B00009UWE8,4,3.5,15
74,74,1684,B00008WJD9,DVD,17726,5,B00005LQ06,6305807957,B00000IBRI,B00005LQ04,6305807930,19,3.5,60
75,75,1687,B00004ST9Q,DVD,11531,5,B00003ETQN,B00005RDAH,B000053GTF,6305629846,B0000DJZBL,43,4.5,135
76,76,1700,B00004ST9H,DVD,7392,5,B0000DC13R,B00005JKHX,B000095J7Q,B00000JH89,B00000I023,44,5,329
77,77,1722,B00005RYA1,DVD,29691,5,B0000DG98R,B00005R5GI,B000069HZO,B0002O7XVI,B0001932ZU,1,5,10
78,78,1787,6305972869,DVD,16410,5,B00023P4I8,6305972842,B0000YEES0,B0001Y4LEQ,B0000BWVD9,2,5,2
79,79,1871,B00005A8TV,DVD,8374,5,B00005A8TU,B00003CWQL,B00005JLV6,B00005JKGO,B0007989ZC,36,4.5,255
80,80,1875,B00005A8TW,DVD,19394,5,B00005QW59,B00005JKGO,B000305ZYS,B00008LDNZ,B00003CWQL,28,4,267
81,81,1880,B00005A8TX,DVD,9289,5,B0000633SC,B0000BUZKP,B000244F2S,B0006Z2NE0,B00012L786,32,4.5,188
82,82,1881,B00005A8TY,DVD,8102,5,B000056BP4,B00015HX90,B000059HAQ,B00005NKT7,0792841409,120,4,963
83,83,1884,B00005A8TU,DVD,5067,5,B00005A8TV,B00005JLV6,B00003CWQL,B000305ZYS,B0007989ZC,30,4.5,239
84,84,1898,6305334854,DVD,30196,5,B0002VEUIK,B000784WS6,B0002JP2SO,B0000687C6,B00008XRY2,17,4,42
85,85,1927,6305247765,DVD,64836,0,,,,,,3,1,22
86,86,1938,B00005Q409,DVD,9651,5,B00000FC65,B00006L3QM,B000000I3B,B000000IDJ,B00000IMYT,35,4.5,170
87,87,1966,B00006LU73,DVD,43456,5,B0001EQI4C,B00006LU75,0920129234,B00062J0TE,096728211X,5,4.5,14
88,88,1980,6305066795,DVD,27037,5,B00008H2GF,B0002IQLGM,B00006D295,B0002VET2M,B0007Y8ALK,51,3.5,528
89,89,2058,0783227981,DVD,8104,5,B00009W5F3,6305162042,B00004RF8A,6301374290,B00003CXD3,71,4.5,368
90,90,2166,B00008DGRX,DVD,53140,0,,,,,,2,5,28
91,91,2216,6304712987,DVD,32834,5,0790738953,B00004RFFY,6304711891,B0002B15WE,0790729601,30,3.5,75
