,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote,visited,v1,v2,v3,v4,v5
0,0,21,0790747324,DVD,795,5,114681,17723,96553,545557,547758,140,4.5,688,13,473.0,991.0,794.0,1472.0,398.0
2,2,42,B000056PNB,DVD,19685,2,,202132,,,386937,24,4.5,91,6,,43.0,,,105.0
4,4,149,B00000IC80,DVD,51310,1,548083,,,,,0,0.0,0,1,36.0,,,,
7,7,153,B00000IC83,DVD,38774,4,547082,542975,41491,166009,,8,4.0,87,8,1433.0,540.0,2256.0,408.0,
8,8,158,B00000IC89,DVD,44822,3,545659,,546953,,90695,4,3.0,20,3,1.0,,127.0,,115.0
9,9,176,B00000IC8Z,DVD,15428,5,132531,131232,201855,321841,132725,15,5.0,70,13,27.0,33.0,39.0,24.0,34.0
10,10,179,B00000IC8F,DVD,53825,2,,338007,,,521020,13,3.5,70,2,,22.0,,,301.0
11,11,182,B00000IC8L,DVD,36972,1,,,88227,,,15,1.5,229,1,,,383.0,,
12,12,211,B00007L4N1,DVD,46276,2,,,28778,6760,,6,5.0,15,2,,,24.0,797.0,
14,14,312,B00006LU75,DVD,18879,1,,,1966,,,5,3.0,12,2,,,14.0,,
15,15,349,B00004U0FN,DVD,17659,4,,340505,543799,535818,220969,7,4.0,50,6,,43.0,45.0,14.0,48.0
16,16,514,B000050X30,DVD,22561,4,71838,475216,134983,,372205,17,3.0,176,5,64.0,374.0,404.0,,372.0
17,17,515,B000050X32,DVD,31160,5,356149,130633,73939,359879,133398,4,5.0,108,5,298.0,25.0,87.0,62.0,29.0
18,18,522,B000050X31,DVD,10124,4,499230,372205,,255989,349604,30,4.5,510,22,319.0,372.0,,495.0,325.0
19,19,653,B00004RFI7,DVD,26906,1,,,530018,,,28,5.0,123,1,,,314.0,,
20,20,672,6305908028,DVD,28448,5,127940,99049,64772,97970,371363,6,4.5,71,11,94.0,65.0,96.0,39.0,80.0
21,21,686,B00004RFIF,DVD,4312,5,127076,165200,544036,262813,127057,50,4.5,173,15,228.0,243.0,305.0,251.0,236.0
22,22,689,B00004RFIE,DVD,4681,5,165200,686,544036,262813,127076,81,4.5,237,8,243.0,173.0,305.0,251.0,228.0
23,23,690,B00004RFIC,DVD,18726,3,198190,4200,233260,,,7,4.5,25,6,190.0,136.0,9.0,,
24,24,746,6305808155,DVD,29372,4,441628,465886,548250,134272,,18,3.0,88,6,353.0,41.0,115.0,130.0,
25,25,802,B00005YTR7,DVD,29488,3,415529,153851,,548362,,2,3.5,15,7,0.0,68.0,,44.0,
26,26,806,B00005YTR8,DVD,12423,4,9250,106095,545376,50775,,11,5.0,51,8,62.0,56.0,7.0,533.0,
28,28,843,B00000INBI,DVD,27268,4,547773,,546156,545334,12350,5,2.0,13,6,107.0,,93.0,354.0,0.0
29,29,856,B00000IC81,DVD,51537,1,,,88227,,,15,1.5,229,1,,,383.0,,
30,30,1002,B000063JZW,DVD,40410,1,58695,,,,,2,2.5,4,1,59.0,,,,
31,31,1049,B000063JZG,DVD,46751,3,54252,493924,378647,,,10,4.5,20,3,0.0,1.0,134.0,,
